account_age,is_power_user,used_new_feature,total_spend
39,0,0,27.67689666721302
52,0,0,29.579318008853097
29,1,1,43.62018643715077
15,0,0,11.394129472199403
43,0,0,17.437404910530923
8,0,1,12.437279220704824
21,1,0,26.836770543636998
39,0,0,12.763997525729636
58,0,0,29.207555763207722
19,1,1,41.020228927272576
23,0,0,14.811747507210658
11,0,0,-16.892611444027388
11,0,0,6.413481594823999
24,0,0,12.394273538868783
53,0,0,21.046328533695835
36,0,1,25.77786740033208
40,1,1,53.77144835199642
24,0,0,12.486994730303529
3,1,1,31.411233407357667
22,0,0,15.464614881458278
53,1,1,68.07419471062175
2,1,0,19.787134248504234
24,0,1,23.23385785729244
44,0,0,17.542057332380175
30,0,0,25.723898175416252
38,1,1,46.30092894934573
2,1,1,21.960542937427782
21,0,0,13.608912649535167
33,0,1,18.449141454698285
12,0,0,12.47514491607117
58,1,1,61.94646810062338
22,0,1,15.860428910874004
44,0,1,35.35289317407192
25,0,1,20.830961050396894
49,0,0,26.63391292417566
27,1,1,37.09324468896556
59,0,0,22.78578953774526
42,0,1,32.589348225879974
28,0,0,23.41941412211029
16,0,0,4.774326526570204
15,0,0,3.8960830126891137
47,1,1,51.80640908446361
51,1,1,48.88311058354341
44,0,1,34.7640290164309
55,0,1,42.0101457817128
52,1,1,58.41106906171177
57,0,0,27.651193044418534
3,0,0,-3.624122137651929
37,1,1,58.81649090272032
51,1,1,51.212793083000626
7,1,0,19.09423506485441
21,1,1,31.540744497777975
9,1,0,17.39117581804421
39,0,0,21.24808180672637
18,0,0,6.866103849543365
4,0,0,-2.319425722777183
25,0,1,18.510993177557083
14,0,0,4.431215245554071
50,0,1,31.678072331673587
58,0,1,46.01333547977702
9,0,0,2.64020113241154
26,0,0,13.728939575938902
53,0,1,36.79603420379882
2,0,0,1.4657969045530486
20,1,1,38.14690201149112
28,0,0,11.62868745205575
47,0,0,26.71555649290086
7,1,1,34.59836123057504
44,0,0,18.20732059239521
8,0,0,-10.2992583109694
47,0,1,30.465215159924366
